,station,lon,lat,disp,Amplitude,Peak_DoY,Min_DoY,Time_PeaktoMin,Amplitude_StDev,Peak_DoY_StDev,Min_DoY_StDev,Time_PeaktoMin_StDev
0,JWLF,"1   -45.119847
Name: longitude, dtype: float64","1    83.111656
Name: latitude, dtype: float64",Vertical,6.425754037071933,256,164,92,27.242707831539054,62.51471318783075,42.84821781566646,62.74547061613481
1,JGBL,"3   -31.004208
Name: longitude, dtype: float64","3    82.208758
Name: latitude, dtype: float64",Vertical,7.871092457541886,248,141,107,36.04496942546034,60.101622483362156,59.498565661336464,42.887191846631744
2,THU2,"4   -68.82505
Name: longitude, dtype: float64","4    76.537047
Name: latitude, dtype: float64",Vertical,6.4375981951981665,267,141,126,31.42114806409788,51.06586545409325,36.40228883522705,53.76206841258993
3,NNVN,"5   -44.901069
Name: longitude, dtype: float64","5    61.631878
Name: latitude, dtype: float64",Vertical,15.587793193770787,299,73,226,50.476732312674635,38.94062404294057,48.198475013012605,54.465913324626385
4,YMER,"7   -24.326331
Name: longitude, dtype: float64","7    77.432897
Name: latitude, dtype: float64",Vertical,10.984599597309003,258,142,116,74.58919973762754,39.342873090231315,51.05885443545932,50.00693285268887
5,ISOR,"10   -38.974917
Name: longitude, dtype: float64","10    65.546656
Name: latitude, dtype: float64",Vertical,16.22176010454878,66,172,106,72.53443663104723,31.886824944910554,7.477245460630477,27.81885851160843
6,TIMM,"11   -42.286153
Name: longitude, dtype: float64","11    62.535544
Name: latitude, dtype: float64",Vertical,13.9435944022153,88,162,74,119.75280366225635,76.44222561373432,31.41770491803276,52.92205401959463
7,KMOR,"12   -63.527411
Name: longitude, dtype: float64","12    81.252717
Name: latitude, dtype: float64",Vertical,7.66820990708561,27,174,147,35.34246082059344,38.27784735076453,48.588508672687205,69.13604260834758
8,BLAS,"13   -22.974725
Name: longitude, dtype: float64","13    79.538608
Name: latitude, dtype: float64",Vertical,9.04247416881862,252,160,92,28.36629803081735,68.42522243120378,64.74402722231433,42.05129278024394
9,KLSQ,"14   -50.620236
Name: longitude, dtype: float64","14    66.995606
Name: latitude, dtype: float64",Vertical,9.627391380880017,251,157,94,44.61773267167037,70.56018631205654,19.99831726904315,37.79748668893211
10,MARG,"15   -65.694631
Name: longitude, dtype: float64","15    77.187039
Name: latitude, dtype: float64",Vertical,7.752144921821684,254,165,89,36.34911441249553,58.36091390494034,38.801566130504376,63.65760486728547
11,HRDG,"16   -44.517381
Name: longitude, dtype: float64","16    81.879833
Name: latitude, dtype: float64",Vertical,7.417056706980164,251,158,93,31.534203452136044,68.65262961891375,44.971831358354,64.89461629819377
12,KELY,"17   -50.944844
Name: longitude, dtype: float64","17    66.987419
Name: latitude, dtype: float64",Vertical,11.246569059423779,257,128,129,33.0003178266282,71.46149704148614,39.05885633867364,44.6022990367658
13,KLY2,"18   -50.950742
Name: longitude, dtype: float64","18    66.986725
Name: latitude, dtype: float64",Vertical,8.695579179909103,299,167,132,24.19019983343658,39.61807456440627,21.243980084224862,31.419540098480116
14,ILUL,"19   -51.060758
Name: longitude, dtype: float64","19    69.240417
Name: latitude, dtype: float64",Vertical,24.32697135664815,252,157,95,14.08478723574467,50.87311181770141,16.666563927074527,40.339999449126864
15,KBUG,"20   -41.157547
Name: longitude, dtype: float64","20    65.143683
Name: latitude, dtype: float64",Vertical,14.56597709265426,299,155,144,39.07060609500753,50.19984486015676,39.45372106475817,66.44516536212399
16,DGJG,"21   -29.850208
Name: longitude, dtype: float64","21    71.786533
Name: latitude, dtype: float64",Vertical,9.567701465978429,252,164,88,43.203554990442655,42.71156867213805,46.21522931672167,62.35261733791845
17,WTHG,"22   -24.308922
Name: longitude, dtype: float64","22    73.9552
Name: latitude, dtype: float64",Vertical,9.09567716047548,252,140,112,33.086550618079364,55.25400157189856,26.75956695728733,44.40370354924113
18,AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,9.267331354525115,37,155,118,77.66815782601469,64.16884799964856,21.316022520225136,37.48536172627923
19,HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,14.336482554100957,275,144,131,30.219441047252932,39.96070599380949,24.552713669357775,43.57877206851978
20,DMHN,"25   -18.655678
Name: longitude, dtype: float64","25    76.771078
Name: latitude, dtype: float64",Vertical,10.19745896237679,52,142,90,79.59288972653134,63.845171966120425,70.8893386624234,104.82260146446365
21,GROK,"26   -22.903767
Name: longitude, dtype: float64","26    78.4427
Name: latitude, dtype: float64",Vertical,9.686506966013397,253,159,94,33.2669041598541,50.13393468091833,63.330682856358735,65.64226280885407
22,TREO,"27   -41.375081
Name: longitude, dtype: float64","27    64.277069
Name: latitude, dtype: float64",Vertical,14.294435575081845,41,157,116,26.73684219923028,58.06836921768997,47.183689429989926,48.884286528369785
